%  Hoz Distance[m]    Altitude[m]
   0.0000000e+00   3.4828966e+01
   1.1754473e+02   3.4828966e+01
   2.3508945e+02   3.4828966e+01
   3.5263418e+02   3.4828966e+01
   4.7017890e+02   3.4855491e+01
   5.8772363e+02   3.4961592e+01
   7.0526835e+02   3.5094218e+01
   8.2281308e+02   3.5094218e+01
   9.4035781e+02   3.4988117e+01
   1.0579025e+03   3.4988117e+01
   1.1754473e+03   3.4988117e+01
   1.1866845e+03   3.4935066e+01
   1.2035404e+03   3.4828966e+01
   1.2965653e+03   3.4797135e+01
   1.3551731e+03   3.4860796e+01
   1.3949738e+03   3.4362122e+01
   1.4933587e+03   3.3301114e+01
   1.6225169e+03   3.3184403e+01
   1.7033876e+03   3.3025252e+01
   1.7516515e+03   3.3014642e+01
   1.8808096e+03   3.2950981e+01
   1.9336813e+03   3.2887321e+01
   2.0226861e+03   3.2834271e+01
   2.0403884e+03   3.2823660e+01
   2.0572443e+03   3.2823660e+01
   2.0740767e+03   3.2823660e+01
   2.0909326e+03   3.2855491e+01
   2.1475892e+03   3.2940371e+01
   2.2682606e+03   3.2940371e+01
   2.3973952e+03   3.3057082e+01
   2.4840962e+03   3.3428435e+01
   2.5065472e+03   3.3428435e+01
   2.5234032e+03   3.3428435e+01
   2.5402591e+03   3.3428435e+01
   2.5563392e+03   3.3396605e+01
   2.5964219e+03   3.3460265e+01
   2.6669253e+03   3.3385995e+01
   2.7199850e+03   3.3290504e+01
   2.7540964e+03   3.3683077e+01
   2.8217552e+03   3.4489443e+01
   2.8924701e+03   3.5274589e+01
   3.0176552e+03   3.6760000e+01
   3.0294097e+03   3.6760000e+01
   3.0652138e+03   3.6155225e+01
   3.0962691e+03   3.5561061e+01
   3.1243623e+03   3.5561061e+01
   3.1470014e+03   3.5561061e+01
   3.1692879e+03   3.5561061e+01
   3.2310694e+03   3.5889973e+01
   3.3352611e+03   3.4701645e+01
   3.4152150e+03   3.3937719e+01
   3.5166796e+03   3.3131353e+01
   3.6243035e+03   3.2399257e+01
   3.7319275e+03   3.1603501e+01
   3.8451936e+03   3.0860796e+01
   3.9318006e+03   3.0075650e+01
   4.0086748e+03   2.9311724e+01
   4.0855491e+03   2.8526578e+01
   4.1465548e+03   2.7762653e+01
   4.1634107e+03   2.7688382e+01
   4.1846628e+03   2.7698992e+01
   4.2027176e+03   2.7688382e+01
   4.2251922e+03   2.7688382e+01
   4.3161718e+03   2.7635332e+01
   4.4442250e+03   2.7688382e+01
   4.5560101e+03   2.6935066e+01
   4.6359640e+03   2.6054430e+01
   4.7475139e+03   2.4823660e+01
   4.7643698e+03   2.4760000e+01
   4.7840233e+03   2.4760000e+01
   4.7947904e+03   2.4781220e+01
   4.8205327e+03   2.4887321e+01
   4.8850413e+03   2.5693687e+01
   4.9496203e+03   2.6457613e+01
   5.0255307e+03   2.7327639e+01
   5.0732774e+03   2.7359469e+01
   5.1238216e+03   2.7423130e+01
   5.1464137e+03   2.7083607e+01
   5.2448222e+03   2.6054430e+01
   5.2754778e+03   2.5821008e+01
   5.2923102e+03   2.5821008e+01
   5.3035475e+03   2.5821008e+01
   5.3204034e+03   2.5821008e+01
   5.3309119e+03   2.5810398e+01
   5.3484966e+03   2.5821008e+01
   5.3597104e+03   2.5789178e+01
   5.4046595e+03   2.5757347e+01
   5.4628676e+03   2.5407215e+01
   5.5506735e+03   2.6022599e+01
   5.6116792e+03   2.5905889e+01
   5.6742365e+03   2.6489443e+01
   5.7183628e+03   2.6075650e+01
   5.7472553e+03   2.5757347e+01
   5.8474975e+03   2.5778568e+01
   5.9662882e+03   2.5821008e+01
   5.9872111e+03   2.5821008e+01
   5.9943814e+03   2.5821008e+01
   6.0000000e+03   2.5821008e+01
   6.0000000e+03   2.5821008e+01
   6.0056186e+03   2.5821008e+01
   6.0127889e+03   2.5821008e+01
   6.0337118e+03   2.5821008e+01
   6.1525025e+03   2.5778568e+01
   6.2527447e+03   2.5757347e+01
   6.2816372e+03   2.6075650e+01
   6.3257635e+03   2.6489443e+01
   6.3883208e+03   2.5905889e+01
   6.4493265e+03   2.6022599e+01
   6.5371324e+03   2.5407215e+01
   6.5953405e+03   2.5757347e+01
   6.6402896e+03   2.5789178e+01
   6.6515034e+03   2.5821008e+01
   6.6690881e+03   2.5810398e+01
   6.6795966e+03   2.5821008e+01
   6.6964525e+03   2.5821008e+01
   6.7076898e+03   2.5821008e+01
   6.7245222e+03   2.5821008e+01
   6.7551778e+03   2.6054430e+01
   6.8535863e+03   2.7083607e+01
   6.8761784e+03   2.7423130e+01
   6.9267226e+03   2.7359469e+01
   6.9744693e+03   2.7327639e+01
   7.0503797e+03   2.6457613e+01
   7.1149587e+03   2.5693687e+01
   7.1794673e+03   2.4887321e+01
   7.2052096e+03   2.4781220e+01
   7.2159767e+03   2.4760000e+01
   7.2356302e+03   2.4760000e+01
   7.2524861e+03   2.4823660e+01
   7.3640360e+03   2.6054430e+01
   7.4439899e+03   2.6935066e+01
   7.5557750e+03   2.7688382e+01
   7.6838282e+03   2.7635332e+01
   7.7748078e+03   2.7688382e+01
   7.7972824e+03   2.7688382e+01
   7.8153372e+03   2.7698992e+01
   7.8365893e+03   2.7688382e+01
   7.8534452e+03   2.7762653e+01
   7.9144509e+03   2.8526578e+01
   7.9913252e+03   2.9311724e+01
   8.0681994e+03   3.0075650e+01
   8.1548064e+03   3.0860796e+01
   8.2680725e+03   3.1603501e+01
   8.3756965e+03   3.2399257e+01
   8.4833204e+03   3.3131353e+01
   8.5847850e+03   3.3937719e+01
   8.6647389e+03   3.4701645e+01
   8.7689306e+03   3.5889973e+01
   8.8307121e+03   3.5561061e+01
   8.8529986e+03   3.5561061e+01
   8.8756377e+03   3.5561061e+01
   8.9037309e+03   3.5561061e+01
   8.9347862e+03   3.6155225e+01
   8.9705903e+03   3.6760000e+01
   8.9823448e+03   3.6760000e+01
   9.1075299e+03   3.5274589e+01
